Review_Text,voted_up,Playtime_Minutes,Clean_Review,Topic_Category,Experience_Level,prompt_1_direct,prompt_2_justification,prompt_3_recommendation,ground_truth
"I'm not really a football fan and rarely watch real-life leagues, but FC25 genuinely surprised me. Ultimate Team is fun, rewarding and keeps me coming back even as casual player. Easy to enjoy, hard to put down. This game made me appreciate football in its own way.",True,2093,i 'm not really a football fan and rarely watch real life league but for a genuinely surprised me Ultimate Team be fun reward and keep me come back even a casual player easy to enjoy hard to put down this game make me appreciate football in it own way,General,Regular (10-50 hrs),Positive,Positive,Positive,Positive
Unplayable.....scripted.....anything but a football game.....EA give up making such masterpieces...plz!,False,7583,unplayable script anything but a football game sport give up make such masterpiece ply,General,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"Slow in terms of having to load every news update which takes ages and are unskippable, but the game itself is not bad",True,1764,slow in term of have to load every news update which take age and be unstoppable but the game itself be not bad,General,Regular (10-50 hrs),Negative,Neutral,Neutral,Neutral
"It's hard to describe a game that has turned into a pure content conveyor over the years. If you were expecting any major changes in EA Sports FC 25, I have to disappoint you - there really aren't any.

The only noticeable change is the price, which feels ridiculously high for what the game actually offers. A few minor tweaks were made here and there, but everything else remains exactly the same.

What deserves special mention are the unbearable lags in the main menu and the incredibly long loading times. Older entries never had such issues, yet here it feels like the developers intentionally locked the game to 10 FPS, forcing you to wait several seconds after almost every action.

Overall, the game simply isn't worth its price - unless this is your very first time wanting to play a football game on PC or console.

★ ★ ★ ★ ☆ ☆ ☆ ☆ ☆ ☆ (4/10)",False,4714,it 's hard to describe a game that have turn into a pure content conveyor over the year if you be expect any major change in EA Sports FC 25 i have to disappoint you there really be n't any the only noticeable change be the price which feel ridiculously high for what the game actually offer a few minor tweak be make here and there but everything else remain exactly the same what deserve special mention be the unbearable lag in the main menu and the incredibly long load time old entry never have such issue yet here it feel like the developer intentionally lock the game to of fps force you to wait several second after almost every action overall the game simply be n't worth it price unless this be your very first time want to play a football game on pc or console a of,Technical/Bugs,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"too much fun. Try playing the rush in EAFC. Its a totality in itself
",True,17050,too much fun try play the rush in each it a totality in itself,General,Veteran (50+ hrs),Positive,Neutral,Positive,Positive
"FC 25 is very bad; sometimes it gets stuck on the initial menu screen and cannot enter the Main Menu, and once the game suddenly closed without any reason. Then, when playing Career Mode, especially during training, the controller suddenly malfunctioned and couldn’t be used, even though outside of training everything worked normally without any errors.",False,2016,for a be very bad sometimes it get stick on the initial menu screen and can not enter the main menu and once the game suddenly close without any reason then when play Career Mode especially during train the controller suddenly malfunction and could n't be use even though outside of train everything work normally without any error,General,Regular (10-50 hrs),Negative,Negative,Negative,Negative
"The error ""there was a problem connecting to the football ultimate team servers. please try again later"" is annoying af, fk this ♥♥♥♥♥♥ as* game, fk u EA, you all robbed my money, fk u dawgs",False,2004,the error there be a problem connecting to the football Ultimate Team server please try again later be annoy off this a game flu sport you all rob my money flu dawes,General,Regular (10-50 hrs),Negative,Negative,Negative,Negative
"fun game until you need to buy the new game every ..,ing year,and left with no update",True,2916,fun game until you need to buy the new game every in year and leave with no update,General,Regular (10-50 hrs),Negative,Negative,Negative,Negative
"Visually, the game is stunning. Stadiums feel alive thanks to dynamic lighting and realistic crowd reactions, while polished player models and fluid animations greatly enhance immersion.",True,3403,visually the game be stun stadium feel alive thanks to dynamic lighting and realistic crowd reaction while polish player model and fluid animation greatly enhance immersion,General,Veteran (50+ hrs),Positive,Positive,Positive,Positive
"this game is worthless for pc players...no matter how many yt videos u see this game is not optimised for pc, total money waste......once u load into game its playable for 3 mins at max...after it high level delay and slow motion gameplay is on.....other fc/ fifa are way way better than this ♥♥♥♥♥♥♥ for PC.",False,9328,this game be worthless for pc player no matter how many it videos a see this game be not optimise for pc total money waste once a load into game it playable for a mind at max after it high level delay and slow motion game play be on other pc fife be way way good than this for pc,Servers & Connection,Veteran (50+ hrs),Negative,Negative,Negative,Negative
Playing this after Fifa 23. Really like playstyles and more tactical game. Really like it.,True,5159,play this after if and really like play style and more tactical game really like it,General,Veteran (50+ hrs),Positive,Positive,Positive,Positive
"EA SPORTS FC 25 is a good football simulation with smoother gameplay and better tactics, but it doesn’t reinvent the series. If you enjoy football games or play Ultimate Team regularly, it’s still one of the best options available. Critics generally gave it favorable reviews, and it even won Best Sports/Racing Game at The Game Awards 2024.

⭐ Rating: 7.5 / 10
A solid football game with better realism and new modes, but not a massive upgrade from previous entries.",True,716,EA Sports FC 25 be a good football simulation with smooth game play and good tactic but it do n't reinvent the series if you enjoy football game or play Ultimate Team regularly it still one of the best option available critic generally give it favorable review and it even win best sport race game at the game award of of rating a a of a solid football game with good realism and new mode but not a massive upgrade from previous entry,Gameplay,Regular (10-50 hrs),Positive,Neutral,Neutral,Neutral
"While I agree it is the best game in the market rn, that says more about the sorry state of PES than the quality of EA FC itself.",False,1951,while i agree it be the best game in the market in that say more about the sorry state of pe than the quality of sport pc itself,General,Regular (10-50 hrs),Negative,Neutral,Negative,Negative
Fkn EA sh1t account get hack and all of my ea game connected into this steam account can't be played,False,359,fun sport shot account get hack and all of my sport game connect into this steam account ca n't be play,General,Novice (< 10 hrs),Negative,Negative,Negative,Negative
"Only here for career mode and damn its addictive. There are some bugs that can sometime be a bit frustrating but other than that it's definitely a great game. FUT Champs is just a moneygrab, pay to win crap but if you're like me and only play career mode then surely give it a shot.",True,12187,only here for Career Mode and damn it addictive there be some bug that can sometime be a bit frustrating but other than that it 's definitely a great game FUT champ be just a money grab pay town crap but if you 're like me and only play Career Mode then surely give it a shot,Ultimate Team,Veteran (50+ hrs),Neutral,Neutral,Neutral,Neutral
"This graphic games is amazing, but EA sport make it uncomfortable to play this game. The initialization when starting the FC 25 game is too long (30 minutes) in Lenovo Legion Go. Sometimes the application of game closed automatically. It's horror and disappointed. EA Sport, I buy this game original via steam with my money, please respect it to make it play simply. For community, do not buy EA Sport game, it not recommended if you respect both your money & your time.",False,14346,this graphic game be amazing but sport sport make it uncomfortable to play this game the initialization when start the for a game be too long of minute in leno legion go sometimes the application of game close automatically it 's horror and disappointed sport sport i buy this game original via steam with my money please respect it to make it play simply for community do not buy sport sport game it not recommend if you respect both your money your time,Graphics,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"If the goal was to simulate latency from Mars, congratulations.
Thanks for the €60 patience training simulator.
Constant input delay, random desync, and an online experience that feels like I’m playing through a satellite from 2003.
PC version is a mess right now.
Not recommended. Never buying FIFA on PC again.",False,12091,if the goal be to simulate latency from mar congratulation thanks for the of patience training simulator constant input delay random de sync and an online experience that feel like in play through a satellite from of of pc version be a mess right now not recommend never buy fife on pc again,Servers & Connection,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"Fully scripted ♥♥♥♥♥♥♥♥ game, not changing difficulty and opponent playing like day and night. changing difficulty down, and opponent playing better, very logical as always EA.",False,1405,fully script game not change difficulty and opponent playing like day and night change difficulty down and opponent playing well very logical a always sport,General,Regular (10-50 hrs),Negative,Negative,Negative,Negative
"just like any other previous fifa game, it sucks. plus they removed the option to move players position on the field. EA continues to spit on us year after year, but not only that, they seem to want to deliberately bring down the game’s quality and the player’s experience by reducing their budget to make more profit. It really really sucks, ea should take 2K as inspiration to make a real sports game",False,15309,just like any other previous fife game it suck plus they remove the option to move player position on the field sport continue to spit on u year after year but not only that they seem to want to deliberately bring down the game quality and the player experience by reduce their budget to make more profit it really really sucks sport should take of as inspiration to make a real sport game,General,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"trash unoptimized garbage, scripted AI, superior AI scripted team will always win tactics dont matter. The game revolves around AI decicions and marking enemy players no actuall skill just mere luck. GARBAGE OF A GAME.",False,6545,trash optimize garbage script a superior a scripted team will always win tactic do matter the game revolve around a decision and mark enemy player no actually skill just mere luck garbage of a game,General,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"6/10 Only playing Manager mode, addicting gameplay loop. boring and easy gameplay even when playing on Legendary.",True,8440,a of only play manager mode addict game play loop boring and easy game play even when play on legendary,Career Mode,Veteran (50+ hrs),Negative,Neutral,Neutral,Neutral
"all in all, the gameplay recived awsome overhaul worth to note
so enjoyable as much as refreshing and smooth to play
recommended
couldn't afford fc26,would't wanna know about frigging inflation in Iran
",True,2736,all in all the game play receive awesome overhaul worth to note so enjoyable as much a refreshing and smooth to play recommend could n't afford for a would n't wan na know about frigging inflation in iran,Gameplay,Regular (10-50 hrs),Positive,Neutral,Positive,Positive
"awful stuff. lazy cut sequences. slow, tired gameplay",False,2525,awful stuff lazy cut sequence slow tire game play,Gameplay,Regular (10-50 hrs),Negative,Negative,Negative,Negative
"Online is literally ruined.
Scripted ass game trash. Never buying a fifa game again in my life",False,3511,online be literally ruin script ass game trash never buy a fife game again in my life,Servers & Connection,Veteran (50+ hrs),Negative,Negative,Negative,Negative
Way to much weird stuff happening that's got nothing to do with skill. The game always feels like it's hard to figure out whether something is happening due to a skill issue or because of some odd process going on with the AI. Worse than ever,False,12032,way to much weird stuff happen that 's get nothing to do with skill the game always feel like it 's hard to figure out whether something be happen due to a skill issue or because of some odd process go on with the a bad than ever,General,Veteran (50+ hrs),Negative,Negative,Negative,Negative
Game takes atleast 5 mins JUST to start up. Practice arena settings MAKES ZERO SENSE and is unnecessarily overcomplicated and there is no start button. The only thing available is are practice matches. Just make it simple like the old FIFA games. Songs are also ♥♥♥♥.,False,1402,game take a least a mind just to start up practice arena setting make zero sense and be unnecessarily over complicate and there be no start button the only thing available be be practice match just make it simple like the old fife game song be also,General,Regular (10-50 hrs),Negative,Negative,Negative,Negative
"What a ♥♥♥♥ game..mf developers why is there so much glitches in online matches.. player pass to different players, do not shoot in time, do not defense . Fk u developers mf son of a *******",False,25363,what a game of developer why be there so much glitch in online match player pas to different player do not shoot in time do not defense flu developer of son of a,Servers & Connection,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"I bought EA FC25 and had been playing it without any issues for the past six months. About two months ago, I was suddenly required to update the anti-cheat software. I followed the instructions step by step to update, install, and launch it, but the game still wouldn’t start at all.

Is this happening because FC26 has been released and you want us to pay again for a new version? Your approach is extremely disappointing. I’ve uninstalled all of your games, and I will never spend another cent on your products again.",False,5821,i buy sport for a and have be play it without any issue for the past six month about two month ago i be suddenly require to update the anti cheat software i follow the instruction step by step to update install and launch it but the game still would n't start at all be this happening because for a have be release and you want u to pay again for a new version your approach be extremely disappointing live uninstalled all of your game and i will never spend another cent on your product again,Technical/Bugs,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"The ♥♥♥♥♥♥♥♥♥ football game ever, defending AI is atrocious, passing for cpu is perfect while yours is slow as snail.",False,3092,the football game ever defend a be atrocious pass for cup be perfect while yours be slow a snail,General,Veteran (50+ hrs),Negative,Negative,Negative,Negative
dont buy it dont buy the 26 dont buy any ea sports games they are the worst buggy and pay to win,False,1522,do buy it do buy the of do buy any sport game they be the bad buggy and pay town,General,Regular (10-50 hrs),Negative,Negative,Negative,Negative
Buggy unoptimized mess. The game gets worse every year,False,10601,buggy optimize mess the game get bad every year,General,Veteran (50+ hrs),Negative,Negative,Negative,Negative
This game's developers aren't even trying to make it work anymore. It's so riddled with bugs on basic functions!,False,1524,this game developer be n't even try to make it work anymore it 's so riddled with bug on basic function,General,Regular (10-50 hrs),Negative,Negative,Negative,Negative
"FC 25 because they didn't want to pay the FIFA ransom, I get it, but the gameplay just seem uggh... and they still have that issue where controller one is auto selected by something else therefore you play with controller 2,  until suddenly the game thinks controller 1 is active but you can't use, so you have to quit the game. 
Personally I cannot stand the whiny extra other match commentary,  I don't need to hear it, but I can't switch it off.  ( I mainly play Manager mode ).  
This will probably be the last ever EA Football game I buy,  and this is from someone who had Fifa 96...  and bought fifa almost every year.  
They claim the players think 26 is fixed, but for me I think it's too late.",False,10462,for a because they do n't want to pay the fife ransom i get it but the game play just seem ugh and they still have that issue where controller one be auto select by something else therefore you play with controller a until suddenly the game think controller a be active but you ca n't use so you have to quit the game personally i can not stand the whiny extra other match commentary i do n't need to hear it but i ca n't switch it off i mainly play manager mode this will probably be the last ever sport football game i buy and this be from someone who have fife of and buy fife almost every year they claim the player think of be fix but for me i think it 's too late,Career Mode,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"Mixed Review as there are so many functions are bad , like controls and the network problems. Although the game is okey .",False,8194,mixed review a there be so many function be bad like control and the network problem although the game be key,General,Veteran (50+ hrs),Neutral,Neutral,Neutral,Neutral
"I usually don't regret buying a game. but this game is horrible  100%. Aside from being unplayable, it gave my laptop screen a bug and now something is stuck on my lcd even after a hard reset. Do not purchase. this game is a liability.",False,1789,i usually do n't regret buy a game but this game be horrible a of aside from be unplayable it give my laptop screen a bug and now something be stick on my cd even after a hard reset do not purchase this game be a liability,Technical/Bugs,Regular (10-50 hrs),Negative,Negative,Negative,Negative
Bought this game for over a year now and I have onky been able to play it fir 4 hours it just won't lunch tried everything it still won't run so I just bought it just to sit in my library unable to play and cant refund either dont waste your money,False,260,bought this game for over a year now and i have only be able to play it fir a hour it just wo n't lunch tried everything it still wo n't run so i just buy it just to sit in my library unable to play and cant refund either do waste your money,General,Novice (< 10 hrs),Negative,Negative,Negative,Negative
"noob game, One particular team is very overpowered (opposite to real world in last 2 season ), if i take that team i win with 5 goals min, if iam against i loose one way or another, no real fun, just gets spammed with real madrid vs real madrid, everytime",False,10597,noon game one particular team be very overpowered opposite to real world in last a season if i take that team i win with a goal min if be against i loose one way or another no real fun just get spammed with real madrid be real madrid every time,General,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"Gameplay too ♥♥♥♥. Defender can't even defend. Too much hacker.


Update : Install back the game. Still ♥♥♥♥. Noobs just use Real Madrid because of Mbappe. Keeper can't even save straight shot from Mbappe. Stupid game stupid EA. Better stop making games.",False,16668,game play too defender ca n't even defend too much hacker update install back the game still boob just use real madrid because of maple keeper ca n't even save straight shot from maple stupid game stupid sport well stop make game,Gameplay,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"♥♥♥♥ game, controller works half of the time in rivals, so many bugs in general, bad texture renders, frequent game crashes, don't buy",False,869,game controller work half of the time in rival so many bug in general bad texture render frequent game crash do n't buy,Graphics,Regular (10-50 hrs),Negative,Negative,Negative,Negative
"carrier mode is just ass you cant enjoy it
the gameplay with bots is crazy ♥♥♥♥ 
unejoyable because world class bot is easy and ultimate bot is just waiting till I intercept then make a move and score and if not then he score between my legs and yeah thats it so fix it",False,5139,carrier mode be just as you cant enjoy it the game play with bot be crazy enjoyable because world class bot be easy and ultimate bot be just wait till i intercept then make a move and score and if not then he score between my leg and yeah that it so fix it,Gameplay,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"Cannot  even open the game as it crashes every time I try. Of the hours it says I have ""played""; I have not played any",False,101,can not even open the game a it crash every time i try of the hour it say i have play i have not play any,General,Novice (< 10 hrs),Negative,Negative,Negative,Negative
"I have never posted a review before and dont plan to anytime soon but this ♥♥♥♥♥♥♥♥ of a game prompted this. i have played 84.8 hours of this game in total and let me just say This has got to be the worst ♥♥♥♥♥♥♥ game ive ever played. the devs are 5 year old brainrot lobotomised freaks who dont know how to even code a ♥♥♥♥♥♥♥ shirt. clothes always glitch out, the npcs are dogs who always do the opposite of what you want like standing behind the opposing teams player when you pass to them like their gonna give them the backshots of doom and dispair. also for some reason if i make it go out of focus then in focus again i feel like im playing the game on a 1600s water-cooled pc with 4 gigabytes of ram. the passing is ♥♥♥♥♥♥♥, so is the stand tackling which somehow is 100 times better on the opposite team, dribbling sucks, and this greedy ass company only focsues on ultimate team and put everything else in the gutter. will not be downloading any more fc games until they actual make the games better, will still play the game because its the only one i have. 0/10, bring back pro evolution.",False,5087,i have never post a review before and do plan to anytime soon but this of a game prompt this i have play of a hour of this game in total and let me just say this have get to be the bad game live ever play the deus be a year old brain rot lobotomized freak who do know how to even code a shirt clothes always glitch out the pc be dog who always do the opposite of what you want like stand behind the oppose team player when you pass to them like their gon na give them the back shot of doom and despair also for some reason if i make it go out of focus then in focus again i feel like in play the game on a of be water cooled pc with a gigabyte of ram the passing be so be the stand tackle which somehow be a of time well on the opposite team dribble suck and this greedy as company only focus on Ultimate Team and put everything else in the gutter will not be download any more pc game until they actual make the game well will still play the game because it the only one i have a of bring back pro evolution,Technical/Bugs,Veteran (50+ hrs),Negative,Negative,Negative,Negative
Stuck at loading screen. Nice DRM. This game should sail the 7 seas. There we wont have DRM bullcrap.,False,472,stick at load screen nice dry this game should sail the a sea there we wont have dry bull rap,General,Novice (< 10 hrs),Negative,Negative,Negative,Negative
"The most ♥♥♥♥♥♥♥♥ franchise I have personally had the privilege of laying my eyes on. Truly the most bottom of the barrel game, play it for yourself. EA is only here for your money and there is zero chance i well ever pay full price for an EA created football game for the rest of my time alive.",False,10755,the most franchise i have personally have the privilege of lay my eye on truly the most bottom of the barrel game play it for yourself sport be only here for your money and there be zero chance i well ever pay full price for an sport create football game for the rest of my time alive,General,Veteran (50+ hrs),Negative,Negative,Negative,Negative
There is no national competitions on Career Mode. Not enough national teams. Poor career mode.,False,8350,there be no national competition on Career Mode not enough national team poor Career Mode,General,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"The most dog 💩 game ever, would rather kms then play one more minute of this fu** as* game. DDA my balls.",False,1591,the most dog game ever would rather ems then play one more minute of this fun a game dad my ball,General,Regular (10-50 hrs),Negative,Negative,Negative,Negative
"I am heavily disappointed with FC 25 and I do NOT recommend anyone to buy this game or any future EA FC product unless the developers come forward and properly optimize it.
One match runs smooth, the next feels choppy, laggy, and completely unresponsive. Defending becomes impossible, passing is delayed, and even scoring feels like a struggle. It doesn’t feel like skill vs skill anymore — it feels like the game engine is fighting against the player.
On top of that, there are no proper dedicated servers in many regions, leading to inconsistent gameplay, input delay, and unfair matches.
This is unacceptable for a so-called “next-gen” football game from a billion-dollar company.
Until this game is rebuilt and optimized properly, this product deserves to be boycotted.
Do not buy. Do not support. Fix the game first.",False,9551,i be heavily disappointed with for a and i do not recommend anyone to buy this game or any FUTure sport pc product unless the developer come forward and properly optimize it one match run smooth the next feel choppy saggy and completely unresponsive defend becomes impossible passing be delay and even score feel like a struggle it do n't feel like skill be skill anymore it feel like the game engine be fight against the player on top of that there be no proper dedicate server in many region lead to inconsistent game play input delay and unfair match this be unacceptable for a so call next gen football game from a billion dollar company until this game be rebuild and optimize properly this product deserve to be boycott do not buy do not support fix the game first,Servers & Connection,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"ABSOLUTE TRASH GAME! 
Whenever I play Liverpool in career mode the game freaks out and doesn't load after half time",False,25857,absolute trash game whenever i play liverpool in Career Mode the game freak out and do n't load after half time,General,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"someone from hell made it very bad, lagging, and not enjoyable, straight trash game..",False,402,someone from hell make it very bad lagging and not enjoyable straight trash game,General,Novice (< 10 hrs),Negative,Negative,Negative,Negative
amazing game by amazing developers its graphics is killer and i can play the game smoothly,True,222,amazing game by amaze developer it graphic be killer and i can play the game smoothly,General,Novice (< 10 hrs),Positive,Positive,Positive,Positive
I have lost so much time to this game for legit nothing. Good fifa but would not recommend if you want to keep your sanity,False,10813,i have lose so much time to this game for legit nothing good fife but would not recommend if you want to keep your sanity,General,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"For someone who grew up and loved playing FIFA, I cannot play for more than 10 mins. Fifa 14 was the last game I played in the series before FC 25 and loved its gameplay. Cannot believe how the gameplay got so much worse.",False,927,for someone who grow up and love play fife i can not play for more than admins fife of be the last game i play in the series before for a and love it game play can not believe how the game play get so much bad,Gameplay,Regular (10-50 hrs),Negative,Negative,Negative,Negative
"♥♥♥♥ game so many glitches and ♥♥♥♥♥♥♥ of ♥♥♥♥ in the matches
",False,3743,game so many glitch and of in the match,General,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"This game is seriously addictive if you play it with friends… yeah, the problem is, you actually need friends :(",True,5440,this game be seriously addictive if you play it with friend yeah the problem be you actually need friend,General,Veteran (50+ hrs),Negative,Neutral,Negative,Negative
"My laptop can't really run Cyberpunk 2077 at 30fps and but could still run the menus without lagging. This game however, lags whenever it wants to, and lags in the ******* menus (like how?). I've even changed the resolution from 1920x1080 to 1600x900, but the performance is the same, but with worse graphics. Glad I got this game for next to nothing, else I would be livid. Also why does it randomly change sides during a match when I have two controllers?",False,2986,my laptop ca n't really run cyberpunk of of at fps and but could still run the menu without lag this game however lag whenever it want to and lag in the menu like how i 've even change the resolution from 1920x1080 to 1600x900 but the performance be the same but with bad graphic glad i get this game for next to nothing else i would be livid also why do it randomly change side during a match when i have two controller,General,Regular (10-50 hrs),Negative,Negative,Negative,Negative
"I've played FIFA and subsequent FC titles since the N64. I've grit my teeth as their emulation of the actual sport has steadily declined over the last decade. This one represents the threshold at which I can no longer force myself to play. 

It's hollow, cumbersome and now an utter chore to put up with. All the usual bugs are still there, while achieving a further regression in the playing experience overall. The menu interface is utter garbage. The gameplay design and AI is genuinely beyond the pale. I fear FC26 will likely be the same story.

I'm easily impressed mind you. I'd be more than happy with player models made with just a dozen polygons, some Fatboy Slim playing in crisp, straight-forward menus, and a design team with at least some understanding of the sport. These days, though, the franchise is simply geared towards kids from a specific region of the world, as this represents the biggest micro-transaction market. 

We've had some great times over the decades old mate.
Sad to see you go.",False,1964,i 've play fife and subsequent pc title since the not i 've grit my teeth a their emulation of the actual sport have steadily decline over the last decade this one represent the threshold at which i can no longer force myself to play it 's hollow cumbersome and now an utter chore to put up with all the usual bug be still there while achieve a further regression in the playing experience overall the menu interface be utter garbage the game play design and a be genuinely beyond the pale i fear for a will likely be the same story i 'm easily impress mind you i 'd be more than happy with player model make with just a dozen polygon some fanboy slim playing in crisp straight forward menu and a design team with at least some understanding of the sport these day though the franchise be simply geared towards kid from a specific region of the world a this represent the big micro transaction market we 've have some great time over the decade old mate sad to see you go,Gameplay,Regular (10-50 hrs),Negative,Negative,Negative,Negative
"Despite what other says, I still enjoy the game massively since I don't always buy the game every year. So the change is quite significant from the last time I play FIFA/FC Game.

Career mode all the way!",True,18618,despite what other say i still enjoy the game massively since i do n't always buy the game every year so the change be quite significant from the last time i play fife pc game Career Mode all the way,General,Veteran (50+ hrs),Positive,Neutral,Positive,Positive
"Horrible optimization for PC. I've tried to tweak settings so I ccould atleast get minimal lags but this game is totally unplayable! What a disgrace. Don't buy this game.

Btw I have i9 14900HX and RTX 4070",False,7307,horrible optimization for pc i 've try to tweak setting so i could a least get minimal lag but this game be totally unplayable what a disgrace do n't buy this game bow i have in 14900hx and rex of of,General,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"This game fantastic although it become old then also it create match to plat online in future I will also upgrade thank you EA for letting it to be playable and drop the price of it 
",True,2126,this game fantastic although it become old then also it create match to plat online in FUTure i will also upgrade thank you sport for let it to be playable and drop the price of it,Servers & Connection,Regular (10-50 hrs),Positive,Neutral,Neutral,Neutral
"The game crashes and freezes on Intel i9 and RTX 4060, Nvidia please fix it, I can't play the game like this.",False,551,the game crash and freeze on intel in and rex of of vida please fix it i ca n't play the game like this,General,Novice (< 10 hrs),Negative,Negative,Negative,Negative
very good game should buy as a football fan but if you have money to buy fc 26 you can do that aswell but its not that big a difference,True,1954,very good game should buy a a football fan but if you have money to buy pc of you can do that swell but it not that big a difference,General,Regular (10-50 hrs),Neutral,Neutral,Neutral,Neutral
"Game mechanic is good, but online gameplay is ♥♥♥♥! it is not skill based rather who has the high stats players... Why have same players with high ratings?? Cannot enjoy the game.. only if they can rework on matchmaking system and remove imbalanced high rated players from the game if see potential",False,1178,game mechanic be good but online game play be it be not skill base rather who have the high stats player why have same player with high rating can not enjoy the game only if they can rework on matchmaking system and remove imbalanced high rat player from the game if see potential,Servers & Connection,Regular (10-50 hrs),Negative,Negative,Negative,Negative
This game is full of Bugs. How a game can't recognize keyboard? are you kidding me. EA is full of ♥♥♥♥ and they don't care about players at all. How a 20 year old game is still buggy? Makes no sense.,False,10035,this game be full of bug how a game ca n't recognize keyboard be you kid me sport be full of and they do n't care about player at all how a of year old game be still buggy make no sense,General,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"I play ultimate team and every time im close to finishing a game, it says that i disconnected from networks it is stupid and i dont like it",False,431,i play Ultimate Team and every time in close to finish a game it say that i disconnect from network it be stupid and i do like it,General,Novice (< 10 hrs),Negative,Negative,Negative,Negative
the game almost forces me to buy fc 26 when i open. Multiplayer is dead so my hours on UT and sbcs are wasted. 99 ovr team for what ea.,False,3040,the game almost force me to buy pc of when i open multiplayer be dead so my hour on it and sec be waste of or team for what sport,General,Veteran (50+ hrs),Negative,Negative,Negative,Negative
game has lots of bugs and support team does respond to the request to fix the issue,False,4199,game have lot of bug and support team do respond to the request to fix the issue,General,Veteran (50+ hrs),Negative,Neutral,Negative,Negative
I think FC25 doesn't deserve the hate. It's a great game and it's a big upgrade from fifa 23 which was the last fifa I played,True,4478,i think for a do n't deserve the hate it 's a great game and it 's a big upgrade from if and which be the last fife i play,General,Veteran (50+ hrs),Positive,Positive,Positive,Positive
"Don't buy this ♥♥♥♥.....♥♥♥♥ online mode.....unplayable lags, connecting you to faraway servers creating unplayable environments....neither EA nor steam team helps. they don't refund either....never gonna buy anything from steam ever.",False,5270,do n't buy this online mode unplayable lag connect you to faraway server create unplayable environment neither sport nor steam team help they do n't refund either never gon na buy anything from steam ever,Servers & Connection,Veteran (50+ hrs),Negative,Negative,Negative,Negative
Haven't played FIFA since 2017 and was expecting a huge improvement after almost 10 years. The game is less arcady but it's bugged and unpolished. These guys keep releasing a game every year to milk the players.,False,2975,have n't play fife since of of and be expect a huge improvement after almost of year the game be less arcady but it 's bug and unpolished these guy keep release a game every year to milk the player,General,Regular (10-50 hrs),Negative,Negative,Negative,Negative
"I really do not like this game, its so expensive and it just feels like an ad for fc26. Please can i get refunded for this god awful game. Most of my hrs are from accidently letting it sit idly and from making a new ea account(pretty confusing). Pretty please can i get refunded🥺
",False,375,i really do not like this game it so expensive and it just feel like an and for for a please can i get refund for this god awful game most of my hr be from accident let it sit idly and from make a new sport account pretty confuse pretty please can i get refund,General,Novice (< 10 hrs),Negative,Negative,Negative,Negative
"Playing in a 5080 and runs terrible. Horrible interface, why do I need install install EA app? The only way I can enjoy it is in my LeGo with the lowest possible settings. Definitely I’m not going to buy the next year version just for the World Cup if they can’t fix all the bugs. Prefer to play the version with the last World Cup",False,222,play in a of of and run terrible horrible interface why do i need install install sport app the only way i can enjoy it be in my lego with the low possible setting definitely in not go to buy the next year version just for the world cup if they cant fix all the bug prefer to play the version with the last world cup,General,Novice (< 10 hrs),Negative,Negative,Negative,Negative
"I have played FIFA since 2015 and back in the day I used to love the game. But since I started playing on PC (around 2020) it is nearly impossible to play on the PC. It constantly crashes, terrible stuttering, and PING is a problem 75% of the time. I stopped playing FUT because I have the pay to win games so I stared on the Seasons and it is just a terrible experience. I cant think back to a single FIFA game on PC where it would run at any type of acceptable level. very sad I will look forward to buying FIFA 26 when they discount it to 99% off because that is the only reasonable price for a game that only runs perfectly 1% of the time.",False,4715,i have play fife since of of and back in the day i use to love the game but since i start play on pc around of of it be nearly impossible to play on the pc it constantly crash terrible stuttering and ping be a problem of of the time i stop play FUT because i have the pay town game so i star on the season and it be just a terrible experience i cant think back to a single fife game on pc where it would run at any type of acceptable level very sad i will look forward to buy fife of when they discount it to of off because that be the only reasonable price for a game that only run perfectly a of the time,Ultimate Team,Veteran (50+ hrs),Negative,Negative,Negative,Negative
"This game is absolute trash. Ever since FC26 launched, it’s impossible to play more than one match per login. The game keeps crashing on the post-match loading screen when transitioning back to the menu in Career Mode. Pretty sure FC26 will be no different.",False,10478,this game be absolute trash ever since for a launch it impossible to play more than one match per login the game keep crash on the post match load screen when transition back to the menu in Career Mode pretty sure for a will be no different,General,Veteran (50+ hrs),Negative,Negative,Negative,Negative
